fold,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,0.827803738317757,0.7295089471321522,0.6760564746804166,0.693447564910071,0.8283000606182257,0.827803738317757,0.8226511186037586
2,0.8060747663551402,0.6817577982397793,0.680851466112897,0.6799680703770484,0.8084296059635259,0.8060747663551402,0.8065056470318852
3,0.80906753914466,0.6738647368534105,0.6751853540663808,0.6723950813230779,0.8102691442433476,0.80906753914466,0.8085412410860288
4,0.8270623977564852,0.7243065979981195,0.6542145158914959,0.6787366594167971,0.8194830732189281,0.8270623977564852,0.8196436385394195
5,0.8135078289319935,0.6822801886131339,0.6922989838849251,0.6864930227840704,0.8187147139785157,0.8135078289319935,0.8155919886274635
mean,0.8167032541012071,0.6983436537673191,0.6757213589272231,0.682208079762213,0.8170393196045086,0.8167032541012071,0.8145867267777112
std,0.010149042366037994,0.026351911094197433,0.013820994447913449,0.008031968978963777,0.007992896996944361,0.010149042366037994,0.006954657981939645
