epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.6736252120868793,1.3954446255584936,0.6497351199750702,0.3428401655665157
2,0.5029406207244015,0.7154920564406607,0.7594266126519165,0.5687752505607818
3,0.44973792293740017,0.6208912697062012,0.7687753194141477,0.6179036720192578
4,0.4108376211632682,0.578594440479968,0.7918354627609847,0.662452497527241
5,0.3931261937794455,0.5530060405633129,0.7965098161421004,0.6694879768464638
6,0.3728267134381945,0.8077744737560038,0.710190090370832,0.5210608932201373
7,0.3350779796062097,0.554990563196867,0.8046120286693674,0.6708445266263917
8,0.287152063624548,0.5929842282396568,0.8083515113742599,0.6821422556480485
9,0.2592261036833963,0.7175119120631125,0.7902773449672795,0.6225198012434305
10,0.24514146331108033,0.8492132031906428,0.7239015269554379,0.61419376644231
11,0.29343363272426715,0.8644045354718916,0.7220317856029916,0.5605595514635959
12,0.3184940233210854,0.6328324993550499,0.7877843564973512,0.6583935401103508
13,0.26857106493362815,0.7764498021798403,0.7578684948582113,0.6079382065202761
14,0.1935400767688941,0.7690362335528381,0.7884076036148333,0.6497921592176057
15,0.21000502330625145,0.7681478710700582,0.7837332502337176,0.6606243298657416
