fold,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,0.827570093457944,0.7196277624505625,0.6650462336648258,0.6894922601566895,0.8178699502462262,0.827570093457944,0.8204126776377125
2,0.8292056074766355,0.7118725535209283,0.7185904764943747,0.7132218039758168,0.8332564308888367,0.8292056074766355,0.83037681019434
3,0.8331385837812573,0.7285251289455585,0.6962240594610967,0.709759222538168,0.8311082510489948,0.8331385837812573,0.8305483730317302
4,0.8261275999065202,0.6944480488435657,0.6877369316847625,0.6898867989232718,0.8254777668143544,0.8261275999065202,0.8251322354617949
5,0.8361766767936434,0.7332686414453343,0.702602509057806,0.7144261850416764,0.8309327563990027,0.8361766767936434,0.831400789650734
mean,0.8304437122832,0.7175484270411898,0.6940400420725731,0.7033572541271245,0.8277290310794829,0.8304437122832,0.8275741771952624
std,0.0041397049768696495,0.015311595070775523,0.019755883488671407,0.012594711152341485,0.006214997945411133,0.0041397049768696495,0.004706211608820543
