epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,1.7236937421035816,0.06347775980928813,0.9820441988950276,0.9775864085305838
2,0.5809293113208893,0.04214720565652507,0.9868017188459177,0.9819810045625846
3,0.4768611575433585,0.034718032244944796,0.9895641497851443,0.9863070565851174
4,0.4276008190613867,0.03280988019987417,0.9895641497851443,0.984890178745781
5,0.40622838096494474,0.03350286813599842,0.9903314917127072,0.9863611919214406
6,0.37495146433679616,0.0330289170130838,0.9914057704112953,0.9878852810637561
7,0.3611008948979057,0.027938418838270827,0.9901780233271946,0.9871773083649386
8,0.3477765837578684,0.03700160223353503,0.987415592387968,0.9848581788907134
9,0.33252497839563916,0.025090295312531118,0.9920196439533456,0.9899974488817902
10,0.32472165868295805,0.02801543481204461,0.9918661755678331,0.9900865019878292
11,0.323576293116445,0.026611677232181837,0.9920196439533456,0.9897334704739077
12,0.3114256088269254,0.0266801700170689,0.9920196439533456,0.9898299335942227
13,0.30410259532470635,0.04483126102638116,0.9854205033763045,0.9819631732619828
14,0.297805217611277,0.02170064136077335,0.9930939226519337,0.9913822770744557
15,0.2970559384640025,0.01899710768424302,0.9937077961939841,0.9910320451258029
