fold,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,0.8345794392523365,0.7319510974895109,0.698125608343147,0.7076639503816812,0.8317110136936049,0.8345794392523365,0.8291374413938478
2,0.822429906542056,0.7083406833297305,0.6981688674129076,0.69816631178534,0.8298414236474961,0.822429906542056,0.8233128633065587
3,0.8230895068941342,0.7044602688791699,0.7090142393656347,0.7019251969634162,0.827992723179859,0.8230895068941342,0.8229697738689771
4,0.8228558074316429,0.7027559487740354,0.6782390961757059,0.6812195101653665,0.8266337555113257,0.8228558074316429,0.8197039754765013
5,0.817013320869362,0.7231673538493324,0.6706272559302792,0.6797946145757374,0.8233402072008718,0.817013320869362,0.8116755976565068
mean,0.8239935961979064,0.7141350704643559,0.6908350134455349,0.6937539167743083,0.8279038246466315,0.8239935961979064,0.8213599303404784
std,0.0064292570123023465,0.012802871558065884,0.015846395794419744,0.012566836828830835,0.003189692817359338,0.0064292570123023465,0.006391864117511152
