fold,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,0.8495327102803738,0.7384804536346066,0.7420532922154507,0.7357017292002463,0.8542625085145661,0.8495327102803738,0.8503257261665899
2,0.8387850467289719,0.7341547278486111,0.7438154267068502,0.7370474319739321,0.847188607817927,0.8387850467289719,0.8417034200653641
3,0.8593129235802758,0.7535863928647846,0.7502967757038949,0.7514438015083217,0.8594734542303961,0.8593129235802758,0.8591682021403272
4,0.8621173171301706,0.7629556106845177,0.7306117335969023,0.7442823850736143,0.8607921668294412,0.8621173171301706,0.8602899869014474
5,0.846693152605749,0.7647565618454812,0.7178533450241559,0.7317473856372814,0.8525146100842012,0.846693152605749,0.8441483823630662
mean,0.8512882300651082,0.7507867493756002,0.7369261146494508,0.7400445466786791,0.8548462694953063,0.8512882300651082,0.851127143527359
std,0.009515658316483095,0.013956574656813815,0.012807879378596442,0.007819653548655419,0.005504128644434854,0.009515658316483095,0.008467116737381765
