epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.25159904415746526,0.21168632655329614,0.9363106200122775,0.923099165980197
2,0.09416097975257007,0.16905335454468057,0.9479742173112339,0.940497922694103
3,0.08889497749533885,0.07001531481493592,0.9779005524861878,0.9682860863955397
4,0.0696300282598122,0.2807490176094171,0.9274094536525476,0.9155048564074612
5,0.06994032606974442,0.26587974241128026,0.939840392879067,0.927340556574382
6,0.062095671257034274,0.0923454639186855,0.9685389809699202,0.9494489452445459
7,0.06541053717759956,0.10892217395800875,0.9656230816451811,0.9515490753919176
8,0.05474226564616278,0.08159708020782146,0.9713014119091468,0.9598774619697277
9,0.05188914041220946,0.19378778341405226,0.9473603437691835,0.9345363437293163
10,0.06305429161057478,0.05918287326872779,0.9811233885819521,0.9777253515325817
11,0.047693329966022796,0.06392388167562954,0.9791282995702886,0.9733053096747601
12,0.046514734996238476,0.07846953466813611,0.9759054634745242,0.9701082317301494
13,0.04859615352585878,0.04118523527290661,0.9869551872314303,0.9805377209625382
14,0.049889775239275146,0.12106597894588868,0.9624002455494168,0.95526374544472
15,0.04566081145864779,0.11220383558689889,0.9665438919582566,0.9554821602639385
