fold,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,0.836214953271028,0.7358227722642112,0.7002058209733835,0.7125451274066086,0.8346943144157447,0.836214953271028,0.8321690708486948
2,0.8383177570093457,0.7419010447665111,0.7106607727348734,0.7223452113233056,0.8366370449591883,0.8383177570093457,0.8351840243012677
3,0.8247254031315728,0.7242606756529311,0.655849497281281,0.6833887879887217,0.8133015198134884,0.8247254031315728,0.8159439993827374
4,0.8343070810937134,0.7264005113255998,0.6834838686384019,0.6988699298367752,0.8354069135933261,0.8343070810937134,0.8313578737177738
5,0.8223884085066604,0.7167320008839286,0.6623370615048152,0.6755127963062485,0.8202782732800534,0.8223884085066604,0.8172072793869265
mean,0.8311907206024641,0.7290234009786364,0.682507404226551,0.698532370572332,0.8280636132123602,0.8311907206024641,0.82637244952748
std,0.007159439447255021,0.009908415341955424,0.023581170055112444,0.019511224832408434,0.01060571673944957,0.007159439447255021,0.009067139008797867
