epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.6769948427462993,0.7402950263387431,0.7397943284512309,0.5482547275334959
2,0.5052258183169813,0.5682725378400107,0.8061701464630726,0.65407271320748
3,0.45117177975353645,0.510969533638703,0.8142723589903397,0.6785115445055855
4,0.40984423316219826,0.5100853768844551,0.8261140542224992,0.7065020860555028
5,0.37192224353597625,0.5222317235757347,0.817076971019009,0.6875005534228431
6,0.3280994018742602,0.6212588819936637,0.7827983795574945,0.6676834613568218
7,0.30246936703517746,0.5703684543617866,0.8005609224057338,0.6725137952900644
8,0.26636845977063317,0.6126328474935173,0.8052352757868495,0.6663899457364251
9,0.23325675483503283,0.6641075545454664,0.8089747584917419,0.6736389143388768
10,0.21200544214255024,0.8105609689259611,0.7538173885945777,0.6138408383391344
11,0.20198449726233345,0.8052650795765999,0.7737612963540044,0.641102630908795
12,0.19814034424793323,0.7598797318979229,0.7799937675288252,0.6510082718254988
13,0.17648676396912444,0.7324307807400502,0.7877843564973512,0.649614367961939
14,0.1471463652508338,1.015783544250202,0.7450919289498286,0.6163234599292154
15,0.13674934659536472,0.8126842525006084,0.7921470863197257,0.6605086197054033
