experiment,mode,teacher,student/model,n_folds,data_dir,params,latency_ms,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_precision_mean,weighted_precision_std,weighted_recall_mean,weighted_recall_std,weighted_f1_mean,weighted_f1_std
cv_teacher_resnet50_cassava,baseline,-,resnet50,5,data/raw/cassava,23518277,5.181215999182314,0.8512882300651082,0.009515658316483095,0.7507867493756002,0.013956574656813815,0.7369261146494508,0.012807879378596442,0.7400445466786791,0.007819653548655419,0.8548462694953063,0.005504128644434854,0.8512882300651082,0.009515658316483095,0.851127143527359,0.008467116737381765
cv_teacher_efficientnet_b2_cassava,baseline,-,efficientnet_b2,5,data/raw/cassava,7708039,11.197571998927742,0.8458668611978081,0.006670584947089162,0.7391208188308631,0.015117115580695334,0.7175479933923037,0.008608880105953471,0.7260251230579211,0.006053372406649407,0.8451785910902048,0.005343814325894998,0.8458668611978081,0.006670584947089162,0.8444214003643937,0.005130143646292413
cv_distill_resnet50_cassava,distillation,resnet50,mobilenet_v3_small,5,data/raw/cassava,1522981,4.539021998643875,0.8349301194925008,0.003147350585289067,0.7269981146442327,0.006568763060642007,0.6973522281194711,0.026177977530499694,0.7072240304151792,0.019938584150952763,0.8327468896663593,0.006592248471113006,0.8349301194925008,0.003147350585289067,0.8316681394454731,0.0061511163638879075
cv_distill_vit_b16_cassava,distillation,vit_b_16,mobilenet_v3_small,5,data/raw/cassava,1522981,3.6765639984514564,0.8311907206024641,0.007159439447255021,0.7290234009786364,0.009908415341955424,0.682507404226551,0.023581170055112444,0.698532370572332,0.019511224832408434,0.8280636132123602,0.01060571673944957,0.8311907206024641,0.007159439447255021,0.82637244952748,0.009067139008797867
cv_distill_efficientnet_b2_cassava,distillation,efficientnet_b2,mobilenet_v3_small,5,data/raw/cassava,1522981,4.911388001637533,0.8304437122832,0.0041397049768696495,0.7175484270411898,0.015311595070775523,0.6940400420725731,0.019755883488671407,0.7033572541271245,0.012594711152341485,0.8277290310794829,0.006214997945411133,0.8304437122832,0.0041397049768696495,0.8275741771952624,0.004706211608820543
cv_teacher_vit_b16_cassava,baseline,-,vit_b_16,5,data/raw/cassava,85802501,7.025236000772566,0.8239935961979064,0.0064292570123023465,0.7141350704643559,0.012802871558065884,0.6908350134455349,0.015846395794419744,0.6937539167743083,0.012566836828830835,0.8279038246466315,0.003189692817359338,0.8239935961979064,0.0064292570123023465,0.8213599303404784,0.006391864117511152
cv_mobilenetv3_baseline_cassava,baseline,-,mobilenet_v3_small,5,data/raw/cassava,1522981,5.3727359941694885,0.8167032541012071,0.010149042366037994,0.6983436537673191,0.026351911094197433,0.6757213589272231,0.013820994447913449,0.682208079762213,0.008031968978963777,0.8170393196045086,0.007992896996944361,0.8167032541012071,0.010149042366037994,0.8145867267777112,0.006954657981939645
