epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,1.7160970842181327,0.060909749032262636,0.9806629834254144,0.9732445613854784
2,0.58976294858572,0.039169436846389516,0.987415592387968,0.9834899136290642
3,0.48301983810985744,0.03907728919280868,0.988182934315531,0.9822839931616648
4,0.4292744474788567,0.0425697401050869,0.9869551872314303,0.9826213279888966
5,0.3981796353408636,0.038827251550038855,0.9877225291589933,0.9833797290606077
6,0.37870118846301265,0.023722530380050046,0.9924800491098834,0.9907002831174679
7,0.3590222666973223,0.02256536732299569,0.9940147329650092,0.992229347892782
8,0.34306986933552275,0.02308996263421938,0.9921731123388582,0.990200446086295
9,0.32900431654601603,0.027512256381411488,0.9920196439533456,0.9898421799553805
10,0.33124250821121487,0.030021880204778476,0.9895641497851443,0.9875478200145908
11,0.3155493736776665,0.041426062164320786,0.9871086556169429,0.9838644955037353
12,0.30720634848432105,0.02398710018971465,0.9923265807243707,0.990012540209079
13,0.30032510583328287,0.04257100415556846,0.9864947820748926,0.9832236734886333
14,0.30266238998131234,0.028245530145110172,0.9921731123388582,0.9905877787150814
15,0.2964582410702874,0.03347620992265822,0.9900245549416821,0.9842886961011175
