epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.2515979953944158,0.11465931108176818,0.9633210558624923,0.9566793172480356
2,0.06359841424776318,0.07769760072598333,0.978207489257213,0.9722224912866689
3,0.05047931325258463,0.03158642427129368,0.9900245549416821,0.9865961108619137
4,0.043543280519374325,0.05391955114740986,0.9811233885819521,0.9736720333248193
5,0.039704820485894625,0.05824214580012606,0.9817372621240025,0.9748583577182637
6,0.039795366836010856,0.06170277861110607,0.9812768569674647,0.9692226599626039
7,0.029887434190567167,0.03331661761347879,0.9892572130141191,0.9839595193940355
8,0.04012743388450842,0.04183451629675721,0.985573971761817,0.9831395300215483
9,0.03316915163427151,0.03895987779901267,0.9878759975445058,0.9816284725860536
10,0.035283823856363285,0.02919380232849558,0.9914057704112953,0.988619690350116
11,0.02857469650056234,0.0451114211197739,0.987415592387968,0.9818289944068501
12,0.03256157541523345,0.0460434964620877,0.9843462246777164,0.9784230154544211
13,0.024577794192567337,0.024901140770931945,0.9930939226519337,0.9904161430570977
14,0.02567958997595111,0.042696669902721106,0.9877225291589933,0.9815301485923634
15,0.028876230032953105,0.029081367036845693,0.9906384284837324,0.9839322335077085
