sweep,alpha,temperature,accuracy,macro_precision,macro_recall,macro_f1
temperature,0.7,1.0,0.8350467289719626,0.7303932569062352,0.7004837008541288,0.7135079872692186
temperature,0.7,2.0,0.8378504672897197,0.7437833278611427,0.6901376654454203,0.7129309843074407
temperature,0.7,4.0,0.8413551401869159,0.7399260249176006,0.7028981220107918,0.7152046910803258
temperature,0.7,8.0,0.8366822429906542,0.7326151055054371,0.7003298226001254,0.7137361120168829
alpha,0.3,4.0,0.827803738317757,0.7058795286647697,0.7076418838357096,0.7060642779981182
alpha,0.5,4.0,0.835981308411215,0.7290823055991947,0.6964282881616504,0.7089163999099788
alpha,0.7,4.0,0.8413551401869159,0.7399260249176006,0.7028981220107918,0.7152046910803258
alpha,0.9,4.0,0.8310747663551402,0.7300885885885886,0.6704029230943589,0.6939064187175937
