epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,1.0994719973361113,0.7004844177434213,0.7809286382050483,0.5820520526158518
2,0.6816917584196924,0.7515347291837046,0.7659707073854783,0.5866740349516066
3,0.604630023175386,0.5628653639255933,0.8049236522281085,0.66606964223932
4,0.5544153888518903,0.5270935263555531,0.8208164537239016,0.6871143058902054
5,0.5055875665984411,0.5140353443931664,0.8214397008413836,0.6976189264684517
6,0.48560403797048557,0.5320487867201478,0.8211280772826426,0.6953963308495721
7,0.4495376576782984,0.5959713300158949,0.794328451230913,0.6915712617565317
8,0.4395378270322088,0.5347588762162667,0.8214397008413836,0.6918090252747198
9,0.4066581233785773,0.5340599360524326,0.8233094421938298,0.6813403813222416
10,0.39134582262569534,0.4944955836337242,0.8376441258959177,0.7221075524818248
11,0.37351731310278163,0.49614277852588295,0.8363976316609536,0.7174073929934066
12,0.3657511411083899,0.5212509753725245,0.8286070426924276,0.7089481143141348
13,0.3567460709877506,0.5074071747449077,0.8298535369273917,0.7119771975705717
14,0.35385551003144716,0.49011052254878795,0.8367092552196946,0.7208347129231372
15,0.34497411913985254,0.5178261261634196,0.8264256777812402,0.7029145003690276
16,0.33807140318571755,0.5204465342839398,0.8251791835462761,0.714913076205341
17,0.32332547196113776,0.5054196082949453,0.8289186662511686,0.7092869712825184
18,0.33049117974771325,0.5141297652783443,0.824244312870053,0.7070135966048448
19,0.31078196927219665,0.5127770752480892,0.8261140542224992,0.699327148135306
20,0.3245990424840932,0.4933851771439745,0.83234652539732,0.7286571282885581
