epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,1.0978311697244088,0.6851312962600694,0.7771891555001558,0.6100877474469355
2,0.7005555482857441,0.525765604767037,0.8214397008413836,0.6908680635952168
3,0.6073275997511527,0.5396410105671605,0.8211280772826426,0.6830414973548433
4,0.5651959089707911,0.5242577919747533,0.824244312870053,0.6758234712551457
5,0.5036710173546197,0.5378891351290602,0.8136491118728576,0.6692076198065919
6,0.47994041177059604,0.5970048350071603,0.7884076036148333,0.6626505535200623
7,0.4777877731825101,0.5693090157592062,0.8114677469616703,0.6422935434038071
8,0.43855346965013053,0.5313375515752434,0.8142723589903397,0.6891114443389611
9,0.42048724630867595,0.4870586117904258,0.8388906201308819,0.7237130926802223
10,0.4123824953165429,0.5119877126997748,0.8292302898099096,0.7036965644453816
11,0.39277234406295847,0.5014391332985494,0.8354627609847305,0.7165815980510415
12,0.3943186525039818,0.504686718535557,0.8339046431910252,0.7104182946492598
13,0.36879253801488376,0.5026602512785637,0.8404487379245871,0.7240779435439243
14,0.3449722183937303,0.5345943494725726,0.8226861950763478,0.7070442373076888
15,0.3324104843156202,0.4774590013098888,0.8420068557182923,0.7405919101629457
