fold,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,0.8411214953271028,0.7290499123366652,0.7069156866067237,0.7168328822990633,0.8382518686963077,0.8411214953271028,0.8392807608075616
2,0.8373831775700935,0.7195405469631365,0.7303672777734856,0.7243467880858449,0.8421741511981309,0.8373831775700935,0.8393548181552677
3,0.8464594531432578,0.7405501984072582,0.7190468656957266,0.7279051413892017,0.8444625728685201,0.8464594531432578,0.844583237038927
4,0.8534704370179949,0.7494224899177525,0.7134654363116836,0.7277536670918595,0.8503895857484796,0.8534704370179949,0.8506051254386221
5,0.8508997429305912,0.7570409465295034,0.7179447005738988,0.733287136423636,0.8506147769395858,0.8508997429305912,0.8482830603815902
mean,0.8458668611978081,0.7391208188308631,0.7175479933923037,0.7260251230579211,0.8451785910902048,0.8458668611978081,0.8444214003643937
std,0.006670584947089162,0.015117115580695334,0.008608880105953471,0.006053372406649407,0.005343814325894998,0.006670584947089162,0.005130143646292413
