epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.24527729472115303,0.1537112165779845,0.9492019643953346,0.9388608093580785
2,0.0967882733813993,0.19461990067103,0.9468999386126458,0.9449641858095676
3,0.07786497831855772,0.09319672208082702,0.9694597912829958,0.9574646242862203
4,0.08377529768762353,0.09482042359484347,0.9714548802946593,0.963007782320362
5,0.05816576064461974,0.09766438940026556,0.9686924493554327,0.9663504478637099
6,0.07014585006701883,0.12435062212481902,0.958256599140577,0.9412278078774106
7,0.06353199796642245,0.05052035580491539,0.9831184775936157,0.9750108341288959
8,0.058902527869349644,0.1315626650762803,0.958256599140577,0.9487916055871215
9,0.05669402678755108,0.07189438306309735,0.9762124002455494,0.9702444337330518
10,0.052484895446673764,0.10130023205123426,0.9700736648250461,0.9641237496005938
11,0.05256455005992691,0.05344822394025287,0.9825046040515654,0.9719116347625028
12,0.04491869266935386,0.08480880239194041,0.9751381215469613,0.9696705890309608
13,0.054863050327120355,0.08075150460756039,0.9728360957642725,0.9645801462484748
14,0.04447523482835603,0.051840743887254785,0.9849600982197667,0.9793836065997875
15,0.0473387813934593,0.06459466924180807,0.9772866789441375,0.9646366829910376
