fold,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,0.8352803738317757,0.7208596177341084,0.7055160851484171,0.7114352843590248,0.8337034215873166,0.8352803738317757,0.8335451934183153
2,0.8348130841121495,0.7333328861912429,0.7120062461232817,0.7176318516685283,0.8390538219369403,0.8348130841121495,0.8340576957274233
3,0.8392147698060295,0.7348804474038143,0.7096072394647053,0.7215309778829307,0.8340975623804707,0.8392147698060295,0.8360614525899751
4,0.8303341902313625,0.7230612786313986,0.6507080690926539,0.6722538860638541,0.8215764176284763,0.8303341902313625,0.820806972565298
5,0.8350081794811872,0.7228563432605994,0.7089235007682976,0.7132681521015584,0.8353032247985925,0.8350081794811872,0.8338693829263542
mean,0.8349301194925008,0.7269981146442327,0.6973522281194711,0.7072240304151792,0.8327468896663593,0.8349301194925008,0.8316681394454731
std,0.003147350585289067,0.006568763060642007,0.026177977530499694,0.019938584150952763,0.006592248471113006,0.003147350585289067,0.0061511163638879075
