epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.2517755167338545,0.22506487766078384,0.9324739103744628,0.9028242021515209
2,0.09953654374901313,0.14468777875494307,0.9524248004910988,0.9402120271045594
3,0.07861124380284291,0.23790215570513934,0.9232658072437078,0.898850104120934
4,0.07283227661298472,0.09364296557087888,0.9717618170656844,0.9609325080057302
5,0.06704742802515494,0.11659443601531401,0.9648557397176182,0.9479333136718718
6,0.06309441586913019,0.10763014621770797,0.9670042971147943,0.9594328345008816
7,0.06759513799636659,0.09282029185019905,0.9700736648250461,0.960134577498444
8,0.0556355174099256,0.334298153375284,0.9056169429097606,0.9041260575014682
9,0.05598248401613874,0.07234632768345216,0.9759054634745242,0.9733093963704894
10,0.04785658074776844,0.17172475748262644,0.9507366482504604,0.9277574104981957
11,0.05420522555442093,0.11756179153237736,0.9640883977900553,0.9518825665505979
12,0.04957262406332802,0.07087501345709438,0.976365868631062,0.969935180552134
13,0.04944843707593212,0.10036905783233149,0.9659300184162063,0.9555745551669486
14,0.042629042083715256,0.13605645526728796,0.9591774094536526,0.9368030163002191
15,0.04748528913265151,0.122346224934503,0.9596378146101903,0.9530653312174727
