epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,1.5348161359249126,0.139845406177795,0.9633210558624923,0.9512734266707878
2,0.5851574894881132,0.03735953902986079,0.988950276243094,0.9860166270167159
3,0.48018511104361095,0.03887703508217839,0.9871086556169429,0.9802514201653018
4,0.4349064051313148,0.03043608382507756,0.9910988336402701,0.9892626533235265
5,0.4060991028806151,0.02625911766464523,0.9920196439533456,0.9898913058548956
6,0.3877622407078194,0.039665354833911884,0.9871086556169429,0.9782968088752497
7,0.3686258787467858,0.021511096444922547,0.9934008594229589,0.991021895430339
8,0.3557574968815916,0.030023910445255497,0.9903314917127072,0.9868346031470964
9,0.3419193445060436,0.02343997719005594,0.9929404542664211,0.990516903942743
10,0.3334170119097307,0.025811228589920878,0.9921731123388582,0.9905997577845722
11,0.32410454965258656,0.025221322638973448,0.9923265807243707,0.9907874846011202
12,0.3258051325439795,0.030362062616716267,0.9894106813996317,0.9845037203175097
13,0.3122601163523708,0.026246847843115564,0.9921731123388582,0.9893413806112377
14,0.3042642891203183,0.029680535051828175,0.9915592387968079,0.990001129729219
15,0.2987891572659759,0.021634626281146128,0.994475138121547,0.9931073259602202
